,0,1,2,3,4
242,senin depan offline tidak_apa,positif,"senin depan gue ptm, gapapa deh",2021-10-29 17:50:58+00:00,lqaper
243,jaring offline aku kurang adaptasi gampang lelah yang paling utama uras uang buat saldo gopay,negatif,"@schfess daring. ptm akunya kurang bisa beradaptasi, gampang capek dan yang paling utama menguras uang buat saldo gopay :(",2021-10-29 17:47:52+00:00,jayunpad
244,offline cuma minggu padahal asik ketemu teman sekian lama,positif,Ptm cuman 2x seminggu padahal asik w ketemu temen2 setelah sekian lama,2021-10-29 17:44:49+00:00,jimiorb
245,offline seru iya itung akrab diri cuma teman kelas tidak_ akrab jadi bagaimana gitu ajar lebih gampang cerna kalau jaring tidak_enak tidak_ interaksi cara langsung enak bisa leha amp santai,positif,"@schfess ptm seru sih, yaa itung² mengakrabkan diri cm temen kelasku blm pd akrab jd agak gmna gtu + pljrn lebih gampang dicerna
klo daring ga enakny gabisa interact secara lgsg tp enakny bisa leha² &amp; santai :))",2021-10-29 17:44:35+00:00,bluetyc
246,offline suka malas gerak bangun pagi ,netral,"@schfess PTM, tapi suka mager bangun paginya, sksk",2021-10-29 17:44:29+00:00,NJMALONG
247,jelas offline buat,positif,@schfess jelas ptm buat aku,2021-10-29 17:43:54+00:00,novembser
248,lebih seru offline apa jaring,positif,sch! lebih seruan ptm ap daring,2021-10-29 17:42:47+00:00,schfess
249,sekarang offline,positif,skrg udh ptm,2021-10-29 17:37:17+00:00,jeollyr
250,lagi offline terus mata ajar mata ajar yak bagus combo,netral,gue lagi ptm terus mapel pjok yak nais combo,2021-10-29 17:34:48+00:00,deiyook
251,masalah paket buku benar butuh banget mau offline admin tolongin,negatif,"masalahnya ini paketnya tuh buku, beneran butuh banget mau ptm mimin tolongin akuuuu 😭🙏🏻",2021-10-29 17:30:52+00:00,harutowatannabe
252,benar hari lelah banget minggu depan offline fisika allahuakbar mana tidak_pernah ajar ipa karena mau ambil jurus mata ajar kuliah baru pulang barusan bolak balik rumah pagi begitu tutup kabar zigi mau putus,negatif,"sebenernya hari ini capee bgt apalagi mingdep PTM FISIKA ALLAHUAKBAR mana gue gapernah belajar ipa lagi karna mau ambil jurusan ips kuliahnya,baru pulang barusan doang,bolak balik rumah dari pagi,dah gitu penutupnya kabar zigi yang mau putus.",2021-10-29 17:30:45+00:00,lovetheavocados
253,kadang mikir sebentar kalau offline full absen kan satu room jadi sama sama sebentar ceng in sama teman setan brengsek malas banget,positif,"gue kadang mikir ntar kalo ptm full absen 1-36  gue kan satu room jadinya sama sama x, ntar diceng²in sama temen setan pasti brengsekk males bgt 😭😭🙂🖕",2021-10-29 17:28:43+00:00,gravitaae
254,iya minggu depan offline soal sayang kalau libur tidak_manfaat,positif,@honeluxxz iya mingdep udh ptm soalnya sayang kl libur ga dimanfaatin,2021-10-29 17:27:16+00:00,catbrury
255,mana senin offline halah dunia waeyo terus jam istirahat,positif,MANA SENIN PTM HALAHHHHHHH UNIVERSE WAEYOOOO TRUS JAM ISTIRAHAT GUE 9:20 https://t.co/2j012w8w9n,2021-10-29 17:24:17+00:00,deiyook
256,hai kakak ela tidak_tidur buat tugas semangat juga ajar takut besok uji mana offline,negatif,"@txxxhun haii ka ellaa! jiakh begadang buat tugas nie, mangatsss. aku jg gi belajar, takut besok ulhar mana ptm😭",2021-10-29 17:22:08+00:00,junhyeodya
257,kalian sudah offline nya tetep ajar kaya waktu jaring tidak_kirim full hari tiap hari jadi tambah malas buat ajar mandiri sedih,negatif,Kalian yang udah ptm sch! Nya tetep belajar kaya waktu daring ga? Sender full day tiap hari gitu jadi tambah males buat belajar mandiri huhu 😣,2021-10-29 17:19:53+00:00,schfess
258,senin besok offline asrama,negatif,"Senin besok ak ptm 

Asrama..",2021-10-29 17:18:06+00:00,TVX0JK1
259,offline kali,netral,@andiraputrib @chogiwabois Ptm kali ah https://t.co/gzh0NiyiZL,2021-10-29 17:17:47+00:00,zavoryxd
260,sama sama han besok offline jadi tidak_tidur maleman iya,positif,"@lovmlwi masamaa, hann! 💗💗💗💗💗 besok ptm, jadi jangan tidur kemaleman, yaa! 💗💗",2021-10-29 16:57:23+00:00,salteurr
261,baru nafas selesai offline libur kamu,negatif,BARU AJA NAFAS KELAR PTM DAN WEEKEND NDER  😭,2021-10-29 16:55:31+00:00,SJNGYEON
262,halo semua tidak_lupa istirahat iya sudah hari sakit kepala kayak cape offline langsung les terus tidak_tidur ajar tetap hidrasi teman,negatif,sch! haloo semuanyaa jangan lupa istirahat yaa aku udah 2 harii sakit kepala kayanya kecapean ptm langsung les trs begadang belajarr t___t stay hydrated everyone!!,2021-10-29 16:54:27+00:00,subschfess
263,offline gojo,negatif,PTM GOJOOOO 🙄🙄🙄🙄🙄,2021-10-29 16:52:40+00:00,zombiepop
264,iya tugas tumpuk senin mulai offline aduh,negatif,"iyaaa nih, tugas numpuk Senin dahmulai PTM hdehhh",2021-10-29 16:52:29+00:00,badruncuks_
265,offline ajar penting kerjasama saling dukung dalam kelas,positif,PTM mengajarkan kami pentingnya kerjasama dan saling mendukung di dalam kelas.,2021-10-29 16:21:29+00:00,SuksesBersama
266,syukur ada lingkung sekolah ajar penuh semangat,positif,Bersyukur bisa berada di lingkungan sekolah dan belajar dengan penuh semangat.,2021-10-29 16:13:29+00:00,SemangatTerus
267,lalu offline bisa lihat sentuh langsung materi ajar lebih mudah paham,positif,"Melalui PTM, kita bisa melihat dan menyentuh langsung materi pelajaran. Lebih mudah dipahami.",2021-10-29 16:45:29+00:00,IlmuBerkembang
268,sama kelas beri energi positif capai prestasi baik,positif,Kebersamaan di kelas memberikan energi positif untuk mencapai prestasi terbaik.,2021-10-29 16:12:29+00:00,Berprestasi
269,offline buka pintu wawas baru baik segi tahu maupun kembang diri,positif,"PTM membuka pintu wawasan baru, baik dari segi pengetahuan maupun pengembangan diri.",2021-10-29 16:08:29+00:00, 
270,tidak_lanjut baca buku kakak rika sama kakak asa deh offline begini tidak_ baca panjang buku dulu,negatif,Gue belum lanjut baca au nya kak Rika sama kak Asa😢 ntaran deh lagi ptm gini ga bisa baca long au dulu,2021-10-29 16:51:12+00:00,pacararsena
271,review sekolah offline kelas thread,netral,"review sklh PTM kelas 12 

- A thread -",2021-10-29 16:51:10+00:00,ferddzzs
272,besok offline malas banget kalau cepat cepat besok presiden periode kenapa tidak_tidur,negatif,"@loveseungm0o besok sy ptm, males bgt kalo cepet cepet besok, presiden 5 periode kita knp blm tdr",2021-10-29 16:50:02+00:00,devilbvnny
273,iya tuhan senin offline hiks neng tidak_neng gitu semester padahal tukad,negatif,"YA ALLAH SENIN UDH PTM hiks t_t
antara seneng ga seneng gtu 1 smt lagi pdhl ueueue tukadd",2021-10-29 16:48:27+00:00,jstfrhim
274,senang moga offline jateng sukses kasihan anak kampung kurang paham sekolah jaring fasilitas fasilitas kurang dukung,netral,"@dinkesjateng @TVRI_JawaTengah @kominfo_jtg @humasjateng @provjateng @agustri_cahyono Alhamdulillah... 
Semoga PTM di Jateng bisa sukses... 
Kasihan anak2 di kampung yang kurang faham dengan sekolah daring... 
Karena sarana dan prasarana yg kurang mendukung... https://t.co/pl7M3RyOGs",2021-10-29 16:41:09+00:00,Klungsu01
275,tidur nyenyak al semangat besok offline,positif,"sleep tight, all!! semangat besok ptm!
https://t.co/lLVYyOPeC5",2021-10-29 16:36:26+00:00,qtjwoo
276,bagi tim anjing minggu tim offline tim rumah the urut ulang,netral,"@masqueradae gue dibagi dua tim anjing, seminggu tim a ptm yg tim b dirumah and the cycle repeats",2021-10-29 16:36:24+00:00,yinternetuser
277,lalu program acara posko jaga tonggo sore dengan tema sinergi guru amp wali murid cegah kelompok offline ajak semua guru wali murid saling jaga ingat siswa selalu patuh protokol sehat rumah seko,positif,"Melalui program acara posko jogo tonggo di @TVRI_JawaTengah sore ini dengan tema ""Sinergi Guru &amp; Wali Murid dalam Pencegahan Klaster PTM"", mengajak semua guru dan wali murid untuk saling menjaga dan mengingatkan agar siswa selalu mematuhi protokol kesehatan dirumah dan disekolah. https://t.co/Dnng9mL2Qn",2021-10-29 16:36:00+00:00,dinkesjateng
278,hari offline seru ketemu spreadsheet di foto tidak_liat mata ngomong-ngomong tugas ing aku kakak jer ,positif,"hari ini ptm🚶🏻‍♀️🚶🏻‍♀️
seru ketemu spreadsheet, ini di poto karna gakeliatan mataku :( anw tugas b ing ku tentang bang jer @JeromePolin wkwkwk https://t.co/xOicbgF7K5",2021-10-29 16:33:02+00:00,chasdly
279,padahal besok offline saya bangun,negatif,PADAHAL BESOK PTM DAN GW MASIH BANGUN?!,2021-10-29 16:32:56+00:00,cloudloversxx
280,gilir besok tidak_offline bawa ngantuk melulu,netral,@jixxlozs giliran besoknya ga ptm bawaannya ngantuk mulu,2021-10-29 16:29:19+00:00,hyphnous
281,offline jatuh minggu sekali jadi ada tugas google classroom,netral,@schfess Aku PTM jatohnya 2 minggu sekali jadi ttp ada tugas di gcr,2021-10-29 16:29:01+00:00,sweetcyre
282,mau offline mau ada nisa alias stres anjing tidak_ teman,positif,gue mau ptm tp maunya yang ada nisa HSKSHJSHS ALIAS STRESS AJG GK ADA TMEN LG,2021-10-29 16:27:23+00:00,jisuevoir
283,itu offline tidak_senang sama sekali anjing ken pulang melulu,negatif,gue tuh ptm kayak ga enjoy sma sekali anjir pengennya pulang mulu,2021-10-29 16:25:56+00:00,ehikarun
284,kalian sudah mulai offline tetep tugas google classroom tidak_kirim sebentar mulai offline,negatif,sch! kalian yang udah mulai ptm tetep dapet tugas di gcr gaa? sender bentar lagi mulai ptm T___T,2021-10-29 16:19:26+00:00,schfess
285,sesi buat offline jadi jam pagi yuhu,positif,sesi dua buat ptm jdi jam 9 pagi yuhuuuu😗,2021-10-29 16:17:45+00:00,purpearlhyun
286,jadi minggu kan first time kelas absen ikut offline hari senin rabu jumat iya waktu hari senin itu masih diem,netral,"jadii, minggu ini tuh kan first time kelas aku (absen 19-36) ikut ptm. kebagiannya hari senin, rabu, jumat ya. pas hari senin tuh masih pada diem..",2021-10-29 16:14:58+00:00,minchvan
287,besok offline jadi tidur cepat bagus malam punya bagus mimpi,positif,"[29. 10. 21]

Karena besok PTM jadi harus tidur cepet. Good night and have a nice dream 💗 https://t.co/tJ2FVgrHIi",2021-10-29 16:14:28+00:00,ranneyy_
288,hari saya offline,netral,Hari ini aku ptm,2021-10-29 16:14:21+00:00,svthenamez
289,saya besok offline bahkan tidak_ strika baju,negatif,@sukiedam lah gw besok ptm malah belom di strika bajunya,2021-10-29 16:10:47+00:00,ehikarun
290,jahahaha gara habis pulang sekolah offline bahkan langsung main krmh teman,positif,@convomfs udahhh jahahaha gara2 abis pulang sekolah ptm malah lgsg main krmh temen,2021-10-29 16:08:29+00:00,dejectedjuly
291,iya pasti tidak_ tidur wktu esok hari harus offline,negatif,knp ya sy pasti ga bisa tidur wktu keesokan hari nya harus ptm 🤔🤔,2021-10-29 16:06:51+00:00,i2JAEMlN
292,kalau tidak_ajar takut besok waktu offline tanya terus cuma kejut hoh lagi,negatif,"kl ga belajar w takut besok pas ptm ditanya, trus w cuman hah hoh doang lagiiㅠㅠㅠㅠㅠ",2021-10-29 16:05:58+00:00,jeysano
293,anjing masa offline hari sabtu,negatif,@seowrim anyg masa ptm hari sabtu https://t.co/dc3aR14jBl,2021-10-29 16:04:08+00:00,worstpart
294,offline segera gelar jajar kodim madiun ikan vaksinasi dosis bagi ajar,positif,"PTM Segera Digelar, Jajaran Kodim Madiun Berikan Vaksinasi Dosis Ke-2 Bagi Pelajar https://t.co/z9abKVnFXU",2021-10-29 16:03:01+00:00,ChannelRedaksi
295,danramil tipe sutojayan himbau offline sekolah tetap terap protokol sehat,negatif,"Danramil Tipe B 0808/09 Sutojayan, Himbau Agar PTM Di Sekolah Tetap Terapkan Protokol Kesehatan https://t.co/OdHwJXk4KC",2021-10-29 16:02:28+00:00,ChannelRedaksi
296,besok offline anjing hanya pengin tidur,negatif,ME bsk ptm anjing aku hanya ingim tidur,2021-10-29 16:01:53+00:00,seowrim
297,panas baru hari offline belang muka sama kaki,negatif,"Panas, baru sehari PTM udah belang muka sama kakiku",2021-10-29 16:00:50+00:00,sahibeibehluv
298,nga arah buat offline,netral,"@staerryninght Ngaa, ada pengarahan buat PTM",2021-10-29 16:00:45+00:00,strawberryjhsk
299,minggu depan offline aghtrt,negatif,mingdep ptm aghhhhtrttt,2021-10-29 15:58:36+00:00,kaienq
300,ajar matematika sama ipa susah sangat pusing iya tuhan jelas guru waktu offline sama tidak_paham otak lanjur lambat banget mau les les mana,negatif,Ini pelajaran MTK sama IPA kenapa susah amat...pusing ya Allah. Udah dijelasin guru nya pas PTM juga sama aja gak paham. Otak udah keburu lemot bgt...pengen les tapi les dimana...,2021-10-29 15:53:56+00:00,luvkymara
301,gera nusantara fi siap offline batas,netral,Gerakan Nusantara 2021 FFI untuk Persiapan PTM Terbatas https://t.co/2cYgKritOG,2021-10-29 15:51:14+00:00,swamediainc
302,tidak_aku besok offline,negatif,"@saranghaaja engga, ku bsk ptm:(",2021-10-29 15:50:51+00:00,jieracoty
303,offline selesai tunggu minggu buat jadwal offline,positif,ptm dah selesai 🤩 nunggu 3 minggu lagi buat dapet jadwal ptm lagi,2021-10-29 15:47:36+00:00,minchvan
304,terus berapa minggu ajar offline bahkan rasa suka sama orang sebut kaya omong balik awal bilang ke diri sendiri tidak_ suka sama teman kelas nyata bahkan suka,positif,"Terus bbrp minggu belajar PTM itu  malah ada rasa suka sama orang tersebut
Kaya omongan kita ke balik yg awalnya bilang ke diri sendiri ""jangan sampai gua suka sama temen sekelas "" eh malah suka 😭😭😭",2021-10-29 15:46:31+00:00,VirgianiH
305,hari offline ulang turun trigonometri sedih banget nilai soal lemah banget materi tapi tetep tidak_ajar lanjut drakor curang terus malam selesai rangkum bio,negatif,"29/10/2021
hari ini PTM ulangan penurunan trigonometri, sedih banget dapet nilai 5 soalnya aku lemah banget dimateri itu, (tapi tetep aja ga belajar ╥﹏╥) lanjut ngedrakor + cheating terus malemnya ngeberesin rangkuman bioᕙ(⇀‸↼‶)ᕗ https://t.co/wKlSkIIfJh",2021-10-29 15:45:34+00:00,diokyungcu
306,sama sama kalau sekarang banyak tugas proyek ran offline tidak_to,positif,"@avoposie sama samaa.kalo sekarang kebanyakan tugas proyek si,ran ptm juga ngga? u too!!",2021-10-29 15:45:10+00:00,rousieszxy
307,tadi malu banget waktu offline mata ajar matematika tidak_erti sama sekali sama soal  ngomong-ngomong hari lumayan senggang iya,negatif,"tadi gue malu banget pas ptm mapel mtk gue ga ngerti samsek sama soal nya wkwkwk, btw hari ini lumayan senggang ya",2021-10-29 15:43:41+00:00,fairykthh
308,senin offline anjing mati,negatif,"senin ptm anjjjj, die",2021-10-29 15:43:21+00:00,tsukivsuniverse
309,tadi offline terus nyoba filter instagram lucu lucu sama teman iya tuhan ketawa kenceng,positif,TADI PTM TERUS NYOBA FILTER IG YANG LUCU LUCU SAMA TEMEN AHAHAHAKDHAKHDHAHAHAHHA YA ALLAH KETAWA KENCENG,2021-10-29 15:43:16+00:00,haechiant
310,gilir besok libur tidak_aktif banget mengapa waktu offline aktif aneh,netral,"gilaran besok libur gua ga aktif bgtt tp kenapa pas ptm gua aktif sii,, aneh",2021-10-29 15:42:52+00:00,thvyawnz
311,tidur duluan besok offline bagus malam,positif,"tidur duluan, besok ptm. good night!",2021-10-29 15:42:04+00:00,_nadoiefa01
312,besok offline sekarang bahkan tidak_ tidur,negatif,"besok ptm, tp skrg malah gbs tidur 😭😭💔",2021-10-29 15:39:27+00:00,mmallxxsss
313,siswa siswa semangat antusias serap ilmu sekolah ajar tatap muka sungguh harga,positif,Siswa-siswa kembali semangat dan antusias dalam menyerap ilmu di sekolah. Pembelajaran tatap muka sungguh berharga! ,2021-10-29 15:34:27+00:00,BelajarBerkah
314,offline beri sempat ajar cara interaktif langsung tanggap guru,positif,PTM memberikan kesempatan untuk belajar secara interaktif dan langsung memperoleh tanggapan dari guru. ,2021-10-29 15:45:27+00:00,GuruInspiratif
315,lihat senyum anak anak sekolah buat hati bahagia offline beri alam ajar tidak_lupa,positif,Melihat senyuman anak-anak di sekolah membuat hati ini bahagia. PTM memberikan pengalaman belajar yang tak terlupakan. ,2021-10-29 15:56:27+00:00,EdukasiMasaDepan
316,puji tuhan akhir jumpa para siswa sekolah lihat tumbuh ajar langsung,positif,"Puji Tuhan, akhirnya bisa berjumpa dengan para siswa di sekolah dan melihat mereka tumbuh dalam pembelajaran langsung. ",2021-10-29 15:13:27+00:00,BelajarBareng
317,offline beri sempat siswa kolaborasi tanya jawab cara langsung,positif,"PTM memberikan kesempatan bagi siswa untuk berkolaborasi, bertanya, dan menjawab secara langsung. ",2021-10-29 15:34:27+00:00,Inspirasikelas
318,kata dom januari mulai offline full tidak_pandemi anjing,positif,ini katanya dom gue januari mulai ptm full kek sebelum pandemi anjir😍,2021-10-29 15:45:05+00:00,raimuasoew
319,tugas selesai semua minggu depan sudah offline lelah moga tugas tidak_banyak offline minggu lalu bisa beban fangirl,negatif,"tugas gua udah kelar semua. minggu depan udh PTM lagi. hufttt semoga tugasnya ga sebanyak PTM minggu lalu. biar bisa beban fangirl lagi 
t_____t",2021-10-29 15:38:50+00:00,chocolattezt
320,hari tmi pagi tadi offline pulang lanjut tidur terus main keluar baru pulang,positif,today tmi pagi tadi ptm pulangnya lanjut tidur terus main keluar dan baru pulang,2021-10-29 15:38:41+00:00,lavienkyuu
321,anjing minggu depan offline,negatif,lah ajg mingdep ptm???,2021-10-29 15:38:11+00:00,mourfeim
322,tidak_ngehargai banget padahal wajib tiap murid tidak_ juga pernah kuliah offline isi orang masuk kasi bapak waktu didik,negatif,@schfess Ga ngehargai banget padahal itu kewajiban setiap murid ga sii:' aku juga pernah kuliah offline isinya cmn 7 org (termasuk aku) kasian bapaknya pas ngajar,2021-10-29 23:50:59+00:00,_Happier_u
323,iya tuhan angkat mau tahun tidak_kuliah kampus terus tiba kemarin acara kampus betul angkat sudah ada offline mereka lihat sinis apa salah hai hanya tunggu teman,negatif,"@acetilcisteine Ya allah gw angkatan 19 yg udh mau 2 tahun kaga kuliah ke kampus, trs tbtb kemaren ada acara di kampus, kebetulan angkatan 21 udh ada yg offline dan mereka melihatku dengan sinis :"" apa salahku hey aku hanya menunggu teman :""",2021-10-29 23:44:22+00:00,TemennyaRenjun1
324,jadi makin takut buat kuliah offline baca komentar,negatif,@collegemenfess Jadi makin takut buat kuliah offline setelah baca komentar,2021-10-29 23:00:55+00:00,sukajanwader
325,jam gin mandi rapi pakai kemeja jadi tiba jaman kuliah offline jam gin aku siap sisa nyatok terus berangkat,positif,"jam segini udh mandi, rapi pake kemeja jadi tb jaman kuliah offline jam segini ku udh siap sisa nyatok terus berangkat🥰",2021-10-29 22:23:39+00:00,sheilalaxsmi
326,hari bisa temu teman teman sekolah semangat ajar,positif,"Hari ini bisa bertemu teman-teman di sekolah, semangat belajar!",2021-10-29 22:26:39+00:00,SenyumCeria
327,offline buat rasa lebih fokus semangat ajar,positif,PTM membuatku merasa lebih fokus dan bersemangat dalam belajar.,2021-10-29 22:09:39+00:00,GemilangPintar
328,hidup offline rasa senang ajar langsung kelas interaksi guru,positif,Hidup PTM! Rasanya senang bisa belajar langsung di kelas dan berinteraksi dengan guru.,2021-10-29 22:24:39+00:00,CemerlangBelajar
329,sekolah offline beri alam ajar lebih nyata dalam,positif,Sekolah offline memberikan pengalaman belajar yang lebih nyata dan mendalam.,2021-10-29 22:21:39+00:00,InspirasiBelajar
330,sekian lama ajar online akhir hirup udara segar sekolah,positif,"Setelah sekian lama belajar online, akhirnya bisa menghirup udara segar di sekolah",2021-10-29 22:36:39+00:00,OptimisMaju
331,cuma kirim mau kuliah offline,negatif,[cm] sender nya mau kuliah offline😰 https://t.co/p3AO6RpW7B,2021-10-29 22:15:22+00:00,collegemenfess
332,lihat foto kuliah offline rindu banget jajan suasana ypk pangpol,negatif,lg liat2 foto kuliah offline kgn bgt jajanan dan suasana ypk pangpol🥲,2021-10-29 19:09:47+00:00,annisathalib_
333,banyak kalau saya tiba kuliah offline mesti kesana terus uang tidak_iya buat nonton konser bgtan tertawa hbu,netral,"@naaa_woo Banyak si my, kek kalo aku tbtb kuliah offline dan mesti kesana, trus ada duit ga ya buat nntn konser bgtan wkwkkw. Hbu?",2021-10-29 18:49:19+00:00,chimchimaja
334,jaman kuliah offline ke max kopi tiap hari sekali kumpul kopi gelas extra shot sekarang kena bagus hari sachet puyeng minggu,negatif,Jaman kuliah offline bisa ke maxx coffee tiap hari dan sekali nongkrong kopinya 2 gelas+extra shot. Sekarang kena good day 1 sachet aja puyengnya seminggu😭,2021-10-29 18:46:02+00:00,uricebear7
335,rasa saya lupa apa kuliah offline,negatif,Rasonyo aku udah lupo kek mano kuliah offline,2021-10-29 18:11:27+00:00,blingybin
336,tu takut banget tidak_ teman waktu kuliah offline bukti hilang berapa hari sakit tidak_ capai out tuju memang siapa ingin cerita bebas orang lega ke siapa anjing kamu tidak_tengah nyet sebentar kasih sticker cinta sebentar tidak_baca pesan padahal topik iya,negatif,"1. gw tu takut bgt gada temen pas kuliah offline, buktinya gw ngilang brp hari krn sakit aja gada yg reach out kek ok emg gw siapa 🤡
2. gw pen cerita bebas ke org biar lega tp ke siapa anj
3. lo jgn setengah"" dah nyet, ntar kasi sticker love ntar ga read chat pdhl ada topik ye—",2021-10-29 18:01:57+00:00,jinnielf
337,wajah wajah ceria sekolah buat suasana ajar jadi lebih bahagia,positif,Wajah-wajah ceria di sekolah membuat suasana belajar menjadi lebih bahagia.,2021-10-29 18:12:57+00:00,BahagiaBelajar
338,offline buka jalan masa depan lebih cerah sukses,positif,PTM membuka jalan untuk masa depan yang lebih cerah dan sukses,2021-10-29 18:14:57+00:00,OptimisMasaDepan
339,generasi muda terus semangat ajar tengah pandemi hebat,positif,Generasi muda terus semangat belajar di tengah pandemi. Hebat! ,2021-10-29 18:17:57+00:00,SemangatPemuda
340,sama sama ajar sekolah saling beri inspirasi tumbuh sama,positif,"Bersama-sama belajar di sekolah, kami saling memberi inspirasi dan tumbuh bersama.",2021-10-29 18:19:57+00:00,BerkembangBersama
341,sekolah offline beri sempat asah potensi bakat milik,positif,Sekolah offline memberikan kesempatan untuk mengasah potensi dan bakat yang dimiliki.,2021-10-29 18:30:57+00:00,AsahPotensi
342,tlku muncul kemeja kemeja lucu kan tidak_kuliah offline mau dipake sini jarang keluar tunggu offline saya cekoutin semua,positif,KNP TLKU MUNCUL KEMEJA KEMEJA LUCU SI KAN AK BLM KULIAH OFFLINE MAU DIPAKE DISINI PUN AKU DH JARANG KELUAR HUHUHUHU TUNGGU AK OFLEN AK CEKOUTIN SMUA,2021-10-29 17:50:36+00:00,syxsjz
343,kuliah offline amp teman,negatif,kuliah offline &amp; pertemanannya 💔💔,2021-10-29 17:50:03+00:00,jinnielf
344,kampus tidak_ dulu kuliah ikut uji kalau tahu lolos mana iya beban pikir banget rumor bakal kuliah offline takut tidak_ waktu,negatif,ptn! ada ga sih yg dulunya udh kuliah tp ikut sbm lagi? kalo boleh tau lolos dimana ya? aku ovt bgt ni rumornya bakal kuliah offline takut gabisa bagi waktu :(,2021-10-29 17:45:00+00:00,sbmptnfess
345,waktu malam pindah rapat offline tiga acara beda penuh banget otak mana tugas kuliah tumpuk aduh,negatif,dalam waktu semalem bisa pindah rapat offline di tiga acara yang berbeda :) penuh bgt ni otakk mana tugas kuliah numpuk hadehh,2021-10-29 17:43:03+00:00,MozarellaquLove
346,jam gin mikir kalau offline terus tinggal kos pulang rumah kapan iya kan hari sabtu saya kuliah anjing,negatif,"jam segini gua mikirin ntr klo dah offline trs ngekos, nanti gua pulang kerumahnya kapan ya... kan hari sabtu gua kuliah anying",2021-10-29 17:28:25+00:00,SBintaniar
347,online kakak kelas offline isi anak  pada malas offline kalau saya sendiri mau jogja tapi kuliah offline tidak_dyu kamu sendiri bagaimana kakak,negatif,"@dyahtooru Masih online aku kak. Tapi aku ada 1 kelas yg offline, itupun diisi 4 anak doang wkw. Kek pada males offline gitu. Kalo aku sendiri sih maunya ke jogja aja tapi untuk kuliah offlinenya ga dyu hehe. Kamu sendiri gmn kak?",2021-10-29 17:21:30+00:00,bakaitou
348,introvert waktu kuliah dulu baru kelompok jelas waktu semester tengah sama akhir coba ikut panitia atau waktu tugas kelompok awak angkat covid tidak_ kelompok gp sebentar semester depan waktu offline dapat,netral,"@ngalamfess Aku introvert pas kuliah ndisik.. dan baru onok circle jelas pas wes smt tengah2 ambek akhir.. coba ikut kepanitiaan aja.. atau pas tugas kelompok 

Karena awakmu angkatan covid.. ga onok circle sek gpp lah ntar SMT depan pas wes offline pasti entuk kok",2021-10-29 17:16:23+00:00,rizaldy_bima
349,vaksin tapi kuliah tidak_offline bagaimana yunen,negatif,VAKSIN UDAH 2X TAPI KULIAH KAGA OFFLINE. GIMANA NIH @//YUNEN,2021-10-29 16:51:33+00:00,upilBaekhyunee
350,pernah kamu waktu kuliah offline waktu semester  pasrah jadi iya baik nilai tugas sama uji uji senang nilai masih aman he,positif,@collegemenfess Pernah nderr. Waktu itu masih kuliah offline pas aku sem 1 sih wkwkw. Aku pasrah jadi ya diperbaiki dari nilai tugas sama ujian ujian aja. Alhamdulillah nilai masih aman sih hehe,2021-10-29 16:46:19+00:00,sugaringjellyyy
351,kuliah offline cuma buat kumpul sama teman,positif,Kuliah offline cm buat ngumpul sm temen👍🏻,2021-10-29 16:42:34+00:00,floveryn
352,pusing banget tu jarang beli baju jarang pergi keluar asli beli naju tahun sekali kaya iya tidak_pakai jadi beli baju tidur baju oblonk celana pendek rumah itu jarang sekarang saya pusing pikir tidak_punya baju buat kuliah offline,negatif,"aku pusing bgt.. aku tu, jrang beli baju krena aku jarang pergi2 keluar, asli beli naju setahun sekali😭👍🏻 kaya ya gak kepake jadi aku belinya bju tidur kaus oblonk celana pendek untuk dirumah aja (itupun jrg).. sekrang aku pusing kepikiran gak punya baju buat kuliah offline :""",2021-10-29 16:20:24+00:00,ichikavwa
353,langit kamu turun big menang saya menang tambah uang saku kuliah offline luar kota,positif,Langit..... Bisakah kau turunkan BIG WIN kepadaku?? Aku ingin menang untuk tambahan uang saku kuliah offline ke luar kota..... 🥺🤲🏻,2021-10-29 16:08:29+00:00,win_oneoke
354,iya lama moga padahal tidak_kuliah offline wuidi kirain nulis buku,positif,@anothercapt iya uda lama di smg padahal ga kuliah offline 🤣 wuidii kirain nulis buku,2021-10-29 15:42:55+00:00,teteuteutete
355,mau kuliah offline,positif,@morphineisgoood pengen kuliah offline,2021-10-29 15:32:11+00:00,okamimachi
356,uaf tanya dong kbt kemeja buat cowok tidak_dijadiin outer waktu kuliah offline,positif,"uaf! nanya dong kbt, kemeja buat cowok boleh ga dijadiin outer gitu pas kuliah offline?",2021-10-29 15:24:16+00:00,andalasfess
357,kayak gambar kalau kuliah offline lari lari kosan gedung fakultas dari ujung ujung amit amit tidak_ lambat,negatif,kayaknya ini gambaran aku kalo udah kuliah offline. lari lari dari kosan ke gedung fakultas yg dari ujung ke ujung🥲 tAPI AMIT AMIT JANGAN SAMPE TELAT😩🙏🏻,2021-10-29 15:12:28+00:00,doyipeach
358,kuliah offline kalau pergi ojek drama kejar kejar kalau pulang denger lagu pakai headset lamun kendara benar rindu sekarang iya begitu cuma jarang,positif,"Kuliah offline, kalo perginya di gojek dengan drama kejar kejarannya. Kalo pulang denger lagu pake headset sambil bengong di motor beneran kangen dah. Sekarang ya masih gitu cuma udah jarang.",2021-10-29 15:05:01+00:00,mintchcoco
